miles_run,angle_shots,upper_ninety,lower_corner,ball_speed,tackles,throwins,penalties,passes
5,30,2,3,25,1,1,1,11
7,31,5,6,55,5,4,1,14
23,45,0,1,35,4,5,0,12
1,120,0,1,14,3,3,0,21
76,134,0,1,25,0,0,2,6
56,169,0,1,34,0,0,0,4
34,111,0,2,23,0,0,0,5
25,121,0,1,21,0,0,0,34
23,45,3,1,22,0,0,2,31
1,26,2,3,65,0,0,0,26
23,38,1,1,54,0,0,0,32
5,29,1,1,35,0,1,0,31
43,38,1,2,41,7,3,2,24
23,15,0,1,43,6,2,1,22
13,39,0,1,44,3,5,0,10
15,25,0,3,48,2,0,0,12
16,68,0,4,51,4,0,0,14
18,80,0,2,52,1,0,0,12
3,117,0,1,43,0,0,0,15
22,37,0,2,28,0,0,2,24
21,116,2,1,13,0,2,0,26
24,95,1,2,26,0,3,1,31
14,99,4,5,43,0,0,0,21
15,101,1,1,21,7,1,0,20
12,72,5,8,18,0,0,0,6
12,83,7,5,25,0,2,0,9
15,12,3,4,56,0,0,1,16
17,55,1,2,45,0,1,2,19
14,38,6,9,23,0,0,3,24
11,69,1,1,12,5,0,2,16
1,90,1,0,17,4,0,1,31
